"Id","Def"
"BR-01","Email must exist in the system."
"BR-02","The password must match the saved password"
"BR-03","Field * cannot be left blank."
"BR-04","Email must match the system’s email format pattern."
"BR-05","Email must not already exist in the system"
"BR-06","Password must be at least 8 characters"
"BR-07","Password must contain at least 1 uppercase, 1 lowercase, 1 number, and 1 special character"
"BR-08","Password and confirm password must be the same"
"BR-09","Fields up to 50 characters unless specified"
"BR-10","Date of birth must be before the current date"
"BR-11","Phone number must be 10 digits"
"BR-12","The image must be in the correct format."
"BR-13","Image file size must not exceed 5MB"
"BR-14","Center name must be unique within the system"
"BR-15","Center email must be unique within the system"
"BR-16","Center phone must be valid Vietnam phone format"
"BR-17","Cannot change center status to inactive if there are active subscriptions"
"BR-18","Cannot delete center with active students or running classes"
"BR-19","Plan name must be unique within the system"
"BR-20","Price must be greater than or equal to 0"
"BR-21","Duration must be 1, 3, 6, or 12 months"
"BR-22","Maximum students must be greater than 0"
"BR-23","Maximum teachers must be greater than 0"
"BR-24","Cannot delete plan that is being used by active tenants"
"BR-25","Subscription start date must be today or future date"
"BR-26","Subscription end date must be after start date"
"BR-27","Payment amount must equal the plan price"
"BR-28","Payment status must be updated after successful transaction"
"BR-29","Refund amount cannot exceed original payment amount"
"BR-30","Refund can only be requested within 30 days of payment"
"BR-31","Username must be unique within the tenant"
"BR-32","Student must be at least 5 years old"
"BR-33","Student age must be less than 25 years old"
"BR-34","Teacher specialization is required"
"BR-35","Cannot delete user with active class enrollments"
"BR-36","Excel file must contain required columns"
"BR-37","Maximum 1000 records per import"
"BR-38","Class name must be unique within the tenant"
"BR-39","Subject must exist"
"BR-40","Teacher must exist"
"BR-41","Maximum students must be at least 1"
"BR-42","Teacher cannot be assigned to two classes at the same time slot"
"BR-43","Teacher cannot be assigned to more than 5 classes simultaneously"
"BR-44","Student cannot enroll in class that conflicts with existing schedule"
"BR-45","Class must have available capacity"
"BR-46","Cannot delete class with enrolled students"
"BR-47","Closing a class will notify all enrolled students"
"BR-48","Day of week must be 2-7 (Monday-Saturday)"
"BR-49","Start time must be before end time"
"BR-50","Schedule duration must be at least 45 minutes"
"BR-51","Schedule duration must not exceed 180 minutes"
"BR-52","Room cannot be booked for two classes at the same time slot"
"BR-53","Operating hours must be within 7:00 AM to 9:00 PM"
"BR-54","Schedule change request must include reason"
"BR-55","Schedule change must be approved at least 24 hours before class time"
"BR-56","Cannot approve change if it conflicts with another class"
"BR-57","Subject name must be unique within the tenant"
"BR-58","Cannot deactivate subject assigned to active classes"
"BR-59","Cannot delete subject assigned to any class"
"BR-60","Room name must be unique within the tenant"
"BR-61","Capacity must be at least 1 person"
"BR-62","Cannot delete room used in any schedule"
"BR-63","Attendance must be recorded on the scheduled date"
"BR-64","Attendance status must be Present, Absent, or Late"
"BR-65","Can only edit attendance within 7 days"
"BR-66","Editing attendance requires reason"
"BR-67","Assignment title must be unique within the class"
"BR-68","Due date must be after start date"
"BR-69","Due date must be in the future"
"BR-70","Can only submit before due date"
"BR-71","File size must not exceed 20MB"
"BR-72","Score must be between 0 and 10"
"BR-73","Grade must be provided before publishing"
"BR-74","Publishing is irreversible"
"BR-75","Invoice amount must be greater than 0"
"BR-76","Due date must be after invoice creation date"
"BR-77","Paid amount cannot exceed remaining balance"
"BR-78","Payment method must be valid"
"BR-79","Refund requires admin approval"
"BR-80","Invoice overdue status is checked daily at midnight"
"BR-81","Title is required and max 100 characters"
"BR-82","Content is required and max 2000 characters"
"BR-83","ZaloOA credentials must be valid"
"BR-84","Recipient must have Zalo account linked"
"BR-85","Cannot send more than 1000 messages per day"
"BR-86","Date range cannot exceed 12 months"
"BR-87","Report data is calculated at end of each day"
"BR-88","The ""Save"" button will be disabled if the student's status is ""Not Submitted""."
"BR-89","The ""Comments for students"" field is optional."
