"Id","Name","Feature","Desc"
"UC-A01","Login","Authentication","User enters credentials to access the system."
"UC-A02","Logout","Authentication","User terminates active session securely."
"UC-A03","Forgot Password","Authentication","User requests password reset via email."
"UC-A04","Reset Password","Authentication","User sets a new password using valid reset token."
"UC-A05","View Profile","Account Management","User views personal account information."
"UC-A06","Update Profile","Account Management","User updates editable profile fields."
"UC-A07","Change Password","Account Management","User changes current password after authentication."
"UC-A08","Send Account Credentials","Account Management","Admin sends generated username/password to user email."
"UC-B01","Submit Tenant Registration","Tenant Onboarding","Guest submits registration form to open a center."
"UC-B02","Review Tenant Registration","Tenant Onboarding","SystemAdmin reviews pending tenant registration request."
"UC-B03","Approve Tenant Registration","Tenant Onboarding","SystemAdmin approves request to create tenant."
"UC-B04","Reject Tenant Registration","Tenant Onboarding","SystemAdmin rejects request with reason."

"UC-B08","Manage Centers","System Administration","SystemAdmin manages center status and center list."
"UC-B09","Manage Service Plans","System Administration","SystemAdmin creates/updates/deletes subscription plans."
"UC-C01","Submit Package Change Request","Subscription Management","CenterAdmin submits upgrade/downgrade/renew request."
"UC-C02","Review Package Change Request","Subscription Management","SystemAdmin reviews package change request."
"UC-C03","Approve Package Change Request","Subscription Management","SystemAdmin approves request and triggers next billing flow."
"UC-C10","Reject Package Change Request","Subscription Management","SystemAdmin rejects package change request with reason."
"UC-C11","Cancel / Terminate Subscription","Subscription Management","SystemAdmin cancels the active subscription of a tenant."

"UC-C05","Pay Subscription by Cash","Subscription Billing","Center pays subscription invoice via cash confirmation flow."
"UC-C06","Pay Subscription by VNPay","Subscription Billing","Center pays subscription invoice via VNPay gateway."

"UC-D01","Submit Enrollment Request (Guest)","Enrollment","Guest submits student enrollment request to center."
"UC-D02","Submit Enrollment Request (Student)","Enrollment","Existing student submits self-enrollment request for class."
"UC-D03","Review Enrollment Request","Enrollment","CenterAdmin reviews incoming enrollment requests."
"UC-D04","Approve Enrollment Request","Enrollment","CenterAdmin approves request and creates/links student profile."
"UC-D05","Reject Enrollment Request","Enrollment","CenterAdmin rejects request and records rejection reason."
"UC-D06","Manage Students","User Management","CenterAdmin performs CRUD for student profiles."
"UC-D07","Manage Teachers","User Management","CenterAdmin performs CRUD for teacher profiles."
"UC-D08","Manage Assistants/Parents","User Management","CenterAdmin performs CRUD for assistant and parent profiles."
"UC-E01","Create Subject","Academic Management","CenterAdmin creates a new subject."
"UC-E02","Manage Subjects","Academic Management","CenterAdmin manages subject catalog."
"UC-E03","Manage Rooms","Academic Management","CenterAdmin manages classroom/room resources."
"UC-E04","Create Class","Class Management","CenterAdmin creates class with schedule and constraints."
"UC-E05","Edit Class (Not Started)","Class Management","CenterAdmin edits all class fields before class starts."
"UC-E06","Edit Class (Started)","Class Management","CenterAdmin edits class with locked startDate and tuition fields."
"UC-E07","Edit Class (Ended)","Class Management","System blocks class editing after class has ended."
"UC-E08","Assign & Import Teacher/Students to Class","Class Management","CenterAdmin assigns teachers and students to class manually or imports students from Excel."
"UC-F01","Mark Attendance (Bulk)","Attendance","Teacher/Assistant marks attendance in bulk per session."
"UC-F02","Mark Attendance (Quick)","Attendance","Teacher/Assistant quickly marks attendance status."
"UC-F03","Update Attendance","Attendance","Teacher/Assistant updates attendance within allowed rule window."
"UC-F04","Submit Attendance Modification Request","Attendance","Teacher submits request to modify locked attendance records."
"UC-F05","Review Attendance Modification Request","Attendance","CenterAdmin reviews and approves/rejects attendance modification request on the same screen."
"UC-G01","Create Assignment","Assignment Management","Teacher creates assignment for class/session."
"UC-G02","Update Assignment","Assignment Management","Teacher updates assignment details."
"UC-G03","Import Assignment","Assignment Management","Teacher imports assignment from another session/template."
"UC-G04","Submit Assignment","Assignment Submission","Student submits assignment files/content."
"UC-G05","Update Submission","Assignment Submission","Student updates submission before deadline/rules."
"UC-G06","Grade Submission","Grading","Teacher/Assistant grades student submission."
"UC-G07","Publish Grade","Grading","Teacher publishes graded result to students/parents."
"UC-G08","Publish All Grades","Grading","Teacher publishes all grades for an assignment."
"UC-G09","Reset Submission","Grading","Teacher resets submission status for re-submission."
"UC-G10","Manage Lesson Materials","Lesson Materials","Teacher uploads lesson materials for a class; students and parents can view uploaded materials."
"UC-H01","Generate Tuition Invoice","Tuition Billing","CenterAdmin generates tuition invoice for student/class period."
"UC-H02","Generate Batch Tuition Invoices","Tuition Billing","CenterAdmin generates invoices in batch."
"UC-H03","View Outstanding Invoices","Tuition Billing","Parent/Student views unpaid tuition invoices."
"UC-H04","Create Family Invoice","Tuition Billing","Parent groups multiple child invoices into one family invoice."
"UC-H12","Lock Invoice by Month","Tuition Billing","CenterAdmin locks invoice editing for a specific month to finalize monthly accounting."
"UC-H13","Cancel Tuition Invoice","Tuition Billing","CenterAdmin cancels a generated tuition invoice."
"UC-H08","Move Paid Invoices to History","Tuition Billing","System moves paid invoices from active list to transaction history."
"UC-H05","Pay Family Invoice","Tuition Payment","Parent pays grouped family invoice."
"UC-H06","Pay Single Invoice by VNPay","Tuition Payment","Parent/Student pays individual invoice via VNPay."
"UC-H07","Confirm Cash Payment","Tuition Payment","CenterAdmin confirms cash payment for tuition invoice."
"UC-H09","Submit Refund Request","Refund","Parent/Center submits refund request for paid transaction."
"UC-H10","Approve Refund Request","Refund","SystemAdmin approves refund and updates related transactions."
"UC-H11","Reject Refund Request","Refund","SystemAdmin rejects refund request with reason."
"UC-I01","Send System Notification","Notification","System sends event-based notifications to users including automated payment reminders."
"UC-I02","View Notifications","Notification","User views notification inbox and read status."
"UC-I03","Send Zalo OA Notification","Notification","Admin/System sends notification through Zalo OA integration."
"UC-I04","Submit Support Request","Support","User creates support ticket to center/system admin."
"UC-I05","Process Support Request","Support","Admin handles, updates, and resolves support ticket."
"UC-I06","View Dashboard & Reports","Reporting","Admin/Teacher views operational and performance reports."
"UC-I09","View Attendance Report","Reporting","Teacher/CenterAdmin views detailed attendance report by class or session."
"UC-I07","Manage Center Public Profile","Center Profile","CenterAdmin manages public profile information of center."
"UC-I08","Manage Center Media","Center Profile","CenterAdmin manages hero images, gallery, highlights, and staff media."
"UC-I10","Manage Integration Settings","Settings","CenterAdmin configures external integrations including Zalo OA and VNPay payment gateway."
